"Referencia";"Fecha Alta";"Tipo";"Operación";"Provincia";"Superficie";"Precio Venta";"Fecha Venta";"Vendedor"
1;01/01/2004;"Parking";"Alquiler";"Lleida";291;2133903;06/19/2004;"Carmen"
2;01/01/2004;"Local";"Venta";"Girona";199;1945424;04/19/2004;"Pedro"
3;01/01/2004;"Oficina";"Alquiler";"Girona";82;712416;11/08/2004;"Joaquín"
4;01/02/2004;"Parking";"Alquiler";"Girona";285;1815450;04/27/2004;"Jesús"
5;01/02/2004;"Suelo";"Venta";"Tarragona";152;1138024;07/10/2004;"María"
6;01/03/2004;"Industrial";"Alquiler";"Girona";131;953156;09/05/2004;"Pedro"
7;01/03/2004;"Parking";"Alquiler";"Tarragona";69;406686;06/07/2004;"Pedro"
8;01/03/2004;"Oficina";"Venta";"Girona";235;2158475;10/31/2004;"Jesús"
9;01/04/2004;"Piso";"Alquiler";"Lleida";108;1024380;12/28/2004;"Jesús"
10;01/04/2004;"Parking";"Venta";"Lleida";299;2042768;10/06/2004;"Joaquín"
11;01/04/2004;"Oficina";"Alquiler";"Girona";124;627068;10/28/2004;"Pedro"
12;01/04/2004;"Industrial";"Venta";"Girona";187;999328;04/05/2004;"Carmen"
13;01/04/2004;"Parking";"Venta";"Barcelona";300;2937300;11/04/2004;"Jesús"
14;01/04/2004;"Local";"Venta";"Tarragona";68;664700;10/01/2004;"Carmen"
15;01/04/2004;"Industrial";"Alquiler";"Girona";176;820336;11/29/2004;"Pedro"
16;01/05/2004;"Casa";"Alquiler";"Girona";179;937960;11/21/2004;"Carmen"
17;01/05/2004;"Casa";"Alquiler";"Tarragona";58;358846;10/08/2004;"Luisa"
18;01/06/2004;"Suelo";"Venta";"Barcelona";283;1679605;06/06/2004;"Carmen"
19;01/07/2004;"Piso";"Alquiler";"Girona";55;472615;04/09/2004;"Luisa"
20;01/08/2004;"Oficina";"Alquiler";"Barcelona";148;1169496;08/19/2004;"María"
21;01/09/2004;"Industrial";"Venta";"Barcelona";228;2020992;06/12/2004;"Carmen"
22;01/09/2004;"Oficina";"Alquiler";"Lleida";116;727552;04/14/2004;"Pedro"
23;01/10/2004;"Casa";"Alquiler";"Girona";183;1438929;04/21/2004;"Luisa"
24;01/10/2004;"Oficina";"Alquiler";"Tarragona";79;427390;12/01/2004;"Joaquín"
25;01/10/2004;"Oficina";"Alquiler";"Barcelona";124;1170684;05/23/2004;"Jesús"
26;01/10/2004;"Local";"Alquiler";"Tarragona";70;549780;06/22/2004;"Jesús"
27;01/11/2004;"Local";"Alquiler";"Tarragona";70;659330;12/23/2004;"Pedro"
28;01/12/2004;"Casa";"Alquiler";"Barcelona";187;1660560;06/16/2004;"Joaquín"
29;01/12/2004;"Casa";"Alquiler";"Tarragona";91;753571;07/07/2004;"Luisa"
30;01/12/2004;"Local";"Alquiler";"Tarragona";201;939072;08/04/2004;"Carmen"
31;01/13/2004;"Industrial";"Alquiler";"Barcelona";142;1405374;09/24/2004;"Jesús"
32;01/13/2004;"Casa";"Alquiler";"Girona";92;627348;04/12/2004;"María"
33;01/15/2004;"Local";"Alquiler";"Barcelona";181;1504110;07/03/2004;"María"
34;01/15/2004;"Casa";"Venta";"Barcelona";281;2483197;11/01/2004;"María"
35;01/15/2004;"Industrial";"Alquiler";"Tarragona";257;1799771;12/31/2004;"Luisa"
36;01/16/2004;"Industrial";"Alquiler";"Tarragona";140;1054340;12/02/2004;"Luisa"
37;01/16/2004;"Local";"Venta";"Girona";229;1160572;07/09/2004;"Pedro"
38;01/17/2004;"Suelo";"Alquiler";"Tarragona";300;1492800;12/08/2004;"Joaquín"
39;01/18/2004;"Parking";"Alquiler";"Tarragona";215;1154980;01/14/2005;"Joaquín"
40;01/18/2004;"Oficina";"Venta";"Girona";182;1057784;07/22/2004;"Jesús"
41;01/18/2004;"Piso";"Venta";"Barcelona";230;1421860;09/23/2004;"Jesús"
42;01/19/2004;"Oficina";"Venta";"Tarragona";168;1426992;11/20/2004;"Jesús"
43;01/19/2004;"Oficina";"Alquiler";"Girona";74;579716;09/22/2004;"María"
44;01/19/2004;"Casa";"Venta";"Girona";278;1537062;12/16/2004;"María"
45;01/20/2004;"Oficina";"Alquiler";"Barcelona";287;2851058;01/02/2005;"Joaquín"
46;01/20/2004;"Oficina";"Alquiler";"Lleida";224;1294048;10/29/2004;"Carmen"
47;01/20/2004;"Piso";"Alquiler";"Barcelona";53;249418;08/11/2004;"Luisa"
48;01/20/2004;"Industrial";"Venta";"Barcelona";284;1457488;07/06/2004;"Jesús"
49;01/20/2004;"Local";"Venta";"Girona";40;321680;01/11/2005;"Jesús"
50;01/20/2004;"Local";"Alquiler";"Tarragona";235;957625;11/13/2004;"Carmen"
51;01/20/2004;"Industrial";"Venta";"Lleida";90;568620;12/14/2004;"Joaquín"
52;01/22/2004;"Local";"Alquiler";"Lleida";206;1605564;09/26/2004;"María"
53;01/22/2004;"Suelo";"Alquiler";"Tarragona";158;1438748;10/17/2004;"Carmen"
54;01/22/2004;"Suelo";"Alquiler";"Barcelona";71;686996;05/30/2004;"Luisa"
55;01/22/2004;"Local";"Venta";"Girona";127;983234;07/09/2004;"Carmen"
56;01/23/2004;"Piso";"Venta";"Lleida";54;239220;05/01/2004;"María"
57;01/23/2004;"Oficina";"Alquiler";"Lleida";54;512730;07/04/2004;"Carmen"
58;01/24/2004;"Local";"Alquiler";"Girona";274;2287626;12/21/2004;"María"
59;01/24/2004;"Industrial";"Venta";"Tarragona";166;1373816;11/19/2004;"Joaquín"
60;01/24/2004;"Oficina";"Alquiler";"Lleida";270;1920240;06/28/2004;"Jesús"
61;01/24/2004;"Casa";"Venta";"Tarragona";120;1140840;09/12/2004;"Carmen"
62;01/24/2004;"Industrial";"Venta";"Tarragona";178;1142938;01/23/2005;"Joaquín"
63;01/25/2004;"Piso";"Venta";"Barcelona";144;738144;09/06/2004;"Luisa"
64;01/26/2004;"Industrial";"Venta";"Lleida";57;509010;10/13/2004;"María"
65;01/26/2004;"Oficina";"Venta";"Tarragona";144;1436832;05/26/2004;"Luisa"
66;01/27/2004;"Suelo";"Venta";"Lleida";272;2119424;12/24/2004;"Pedro"
67;01/27/2004;"Industrial";"Alquiler";"Barcelona";219;948927;10/15/2004;"Jesús"
68;01/27/2004;"Local";"Alquiler";"Barcelona";68;376992;06/28/2004;"Luisa"
69;01/27/2004;"Local";"Venta";"Girona";248;2212408;10/09/2004;"María"
70;01/28/2004;"Casa";"Alquiler";"Tarragona";179;1647695;07/12/2004;"María"
71;01/28/2004;"Casa";"Venta";"Girona";235;1939925;11/01/2004;"Carmen"
72;01/28/2004;"Suelo";"Venta";"Tarragona";216;1478952;10/15/2004;"Carmen"
73;01/28/2004;"Parking";"Alquiler";"Barcelona";62;320044;09/04/2004;"Joaquín"
74;01/29/2004;"Industrial";"Venta";"Girona";229;1098055;10/22/2004;"Joaquín"
75;01/29/2004;"Suelo";"Venta";"Tarragona";41;187862;08/14/2004;"Jesús"
76;01/29/2004;"Suelo";"Alquiler";"Tarragona";234;1757106;12/28/2004;"Pedro"
77;01/30/2004;"Industrial";"Alquiler";"Tarragona";112;1104992;06/25/2004;"Pedro"
78;01/31/2004;"Piso";"Venta";"Lleida";87;448485;10/04/2004;"María"
79;01/31/2004;"Parking";"Venta";"Barcelona";298;2520484;11/27/2004;"Carmen"
80;01/31/2004;"Parking";"Alquiler";"Barcelona";217;1339107;10/05/2004;"Carmen"
81;02/01/2004;"Industrial";"Alquiler";"Barcelona";236;1812244;11/17/2004;"Pedro"
82;02/02/2004;"Parking";"Venta";"Girona";117;1069731;09/14/2004;"Pedro"
83;02/02/2004;"Suelo";"Venta";"Lleida";56;471072;05/29/2004;"María"
84;02/02/2004;"Piso";"Venta";"Barcelona";94;470940;07/28/2004;"Carmen"
85;02/02/2004;"Local";"Alquiler";"Barcelona";127;925322;06/03/2004;"Joaquín"
86;02/03/2004;"Piso";"Venta";"Girona";275;2141700;01/08/2005;"Jesús"
87;02/03/2004;"Industrial";"Alquiler";"Barcelona";93;778875;05/12/2004;"Luisa"
88;02/03/2004;"Parking";"Alquiler";"Tarragona";58;421196;10/10/2004;"Pedro"
89;02/04/2004;"Local";"Alquiler";"Barcelona";49;219716;09/27/2004;"Jesús"
90;02/04/2004;"Suelo";"Venta";"Girona";292;2685816;07/24/2004;"Pedro"
91;02/04/2004;"Industrial";"Alquiler";"Barcelona";123;723609;12/16/2004;"Joaquín"
92;02/05/2004;"Piso";"Alquiler";"Barcelona";48;388032;05/06/2004;"Jesús"
93;02/05/2004;"Industrial";"Alquiler";"Tarragona";132;922020;10/23/2004;"Joaquín"
94;02/06/2004;"Industrial";"Alquiler";"Barcelona";177;965358;06/08/2004;"Luisa"
95;02/06/2004;"Local";"Venta";"Barcelona";68;663816;05/23/2004;"Joaquín"
96;02/07/2004;"Industrial";"Alquiler";"Tarragona";103;728931;02/05/2005;"Jesús"
97;02/07/2004;"Suelo";"Venta";"Tarragona";96;625536;11/07/2004;"Jesús"
98;02/07/2004;"Casa";"Venta";"Lleida";227;1467782;02/01/2005;"Carmen"
99;02/07/2004;"Industrial";"Alquiler";"Girona";251;2067236;12/22/2004;"María"
100;02/08/2004;"Local";"Alquiler";"Tarragona";125;531375;06/23/2004;"Jesús"
101;02/08/2004;"Suelo";"Alquiler";"Girona";162;710694;09/27/2004;"María"
102;02/08/2004;"Local";"Venta";"Barcelona";45;438435;05/23/2004;"Luisa"
103;02/08/2004;"Casa";"Alquiler";"Girona";258;1188090;07/19/2004;"María"
104;02/09/2004;"Oficina";"Venta";"Tarragona";104;699400;07/14/2004;"Luisa"
105;02/10/2004;"Piso";"Alquiler";"Girona";238;1854496;02/02/2005;"Luisa"
106;02/10/2004;"Piso";"Alquiler";"Lleida";300;2105700;01/26/2005;"Pedro"
107;02/10/2004;"Suelo";"Alquiler";"Girona";222;1791318;12/13/2004;"Jesús"
108;02/12/2004;"Suelo";"Alquiler";"Tarragona";187;1782297;12/20/2004;"Joaquín"
109;02/12/2004;"Suelo";"Alquiler";"Barcelona";300;1528200;08/09/2004;"Pedro"
110;02/12/2004;"Parking";"Venta";"Barcelona";206;1587642;12/20/2004;"Luisa"
111;02/13/2004;"Suelo";"Alquiler";"Tarragona";162;954666;11/25/2004;"Joaquín"
